"","source","target"
"11098","Intimidation","Destruction/Damage/Vandalism of Property"
"11099","Simple Assault","Destruction/Damage/Vandalism of Property"
"11100","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"11101","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11102","Simple Assault","Destruction/Damage/Vandalism of Property"
"11103","Theft From Building","Simple Assault"
"11104","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"11105","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11106","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11107","Theft From Building","Credit Card/Automated Teller Machine Fraud"
"11108","Shoplifting","Simple Assault"
"11109","Destruction/Damage/Vandalism of Property","Theft From Building"
"11110","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11111","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11112","Destruction/Damage/Vandalism of Property","Theft From Building"
"11113","Credit Card/Automated Teller Machine Fraud","Destruction/Damage/Vandalism of Property"
"11114","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"11115","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11116","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11117","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11118","Simple Assault","All Other Larceny"
"11119","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"11120","Destruction/Damage/Vandalism of Property","Theft From Building"
"11121","All Other Larceny","Destruction/Damage/Vandalism of Property"
"11122","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"11123","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11124","Simple Assault","Drug/Narcotic Violations"
"11125","Simple Assault","Weapon Law Violations"
"11126","Drug/Narcotic Violations","Weapon Law Violations"
"11127","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11128","Simple Assault","Destruction/Damage/Vandalism of Property"
"11129","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11130","Stolen Property Offenses","Weapon Law Violations"
"11131","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"11132","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11133","Theft From Building","Simple Assault"
"11134","Simple Assault","Destruction/Damage/Vandalism of Property"
"11135","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11136","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11137","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11138","All Other Larceny","Destruction/Damage/Vandalism of Property"
"11139","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11140","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"11141","Motor Vehicle Theft","Burglary/Breaking & Entering"
"11142","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11143","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11144","Drug/Narcotic Violations","Aggravated Assault"
"11145","Drug/Narcotic Violations","Weapon Law Violations"
"11146","Aggravated Assault","Weapon Law Violations"
"11147","Intimidation","Destruction/Damage/Vandalism of Property"
"11148","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11149","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11150","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11151","Shoplifting","Aggravated Assault"
"11152","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11153","Motor Vehicle Theft","Theft From Motor Vehicle"
"11154","Drug/Narcotic Violations","Weapon Law Violations"
"11155","All Other Larceny","Aggravated Assault"
"11156","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"11157","Motor Vehicle Theft","All Other Larceny"
"11158","Destruction/Damage/Vandalism of Property","All Other Larceny"
"11159","Drug/Narcotic Violations","Weapon Law Violations"
"11160","Drug/Narcotic Violations","Weapon Law Violations"
"11161","Drug/Narcotic Violations","Weapon Law Violations"
"11162","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11163","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"11164","Weapon Law Violations","Aggravated Assault"
"11165","Intimidation","Destruction/Damage/Vandalism of Property"
"11166","Drug/Narcotic Violations","Weapon Law Violations"
"11167","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11168","Destruction/Damage/Vandalism of Property","All Other Larceny"
"11169","Simple Assault","Destruction/Damage/Vandalism of Property"
"11170","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11171","Shoplifting","Intimidation"
"11172","Simple Assault","Destruction/Damage/Vandalism of Property"
"11173","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11174","Aggravated Assault","Weapon Law Violations"
"11175","Intimidation","Destruction/Damage/Vandalism of Property"
"11176","Intimidation","All Other Larceny"
"11177","Aggravated Assault","Weapon Law Violations"
"11178","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"11179","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"11180","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11181","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11182","Simple Assault","All Other Larceny"
"11183","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11184","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11185","Burglary/Breaking & Entering","Aggravated Assault"
"11186","False Pretenses/Swindle/Confidence Game","Identity Theft"
"11187","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11188","Stolen Property Offenses","Weapon Law Violations"
"11189","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11190","Weapon Law Violations","Drug/Narcotic Violations"
"11191","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11192","Simple Assault","Theft From Building"
"11193","Drug Equipment Violations","Drug/Narcotic Violations"
"11194","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11195","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11196","Drug/Narcotic Violations","Weapon Law Violations"
"11197","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11198","Simple Assault","All Other Larceny"
"11199","Simple Assault","Destruction/Damage/Vandalism of Property"
"11200","Credit Card/Automated Teller Machine Fraud","Destruction/Damage/Vandalism of Property"
"11201","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"11202","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11203","Stolen Property Offenses","Weapon Law Violations"
"11204","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11205","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11206","Simple Assault","Weapon Law Violations"
"11207","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11208","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11209","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11210","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11211","Simple Assault","Destruction/Damage/Vandalism of Property"
"11212","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11213","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11214","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11215","Destruction/Damage/Vandalism of Property","Theft From Building"
"11216","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11217","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11218","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11219","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11220","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"11221","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11222","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"11223","Credit Card/Automated Teller Machine Fraud","Stolen Property Offenses"
"11224","All Other Larceny","Stolen Property Offenses"
"11225","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11226","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11227","Credit Card/Automated Teller Machine Fraud","Theft From Motor Vehicle"
"11228","Intimidation","Destruction/Damage/Vandalism of Property"
"11229","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"11230","Destruction/Damage/Vandalism of Property","Drug/Narcotic Violations"
"11231","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11232","Drug/Narcotic Violations","Weapon Law Violations"
"11233","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11234","Simple Assault","All Other Larceny"
"11235","Shoplifting","Drug/Narcotic Violations"
"11236","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11237","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11238","Simple Assault","All Other Larceny"
"11239","Intimidation","Destruction/Damage/Vandalism of Property"
"11240","Simple Assault","Destruction/Damage/Vandalism of Property"
"11241","Weapon Law Violations","Intimidation"
"11242","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11243","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11244","Robbery","Weapon Law Violations"
"11245","Destruction/Damage/Vandalism of Property","Simple Assault"
"11246","False Pretenses/Swindle/Confidence Game","Theft From Motor Vehicle"
"11247","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11248","Intimidation","Simple Assault"
"11249","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11250","Simple Assault","Destruction/Damage/Vandalism of Property"
"11251","Weapon Law Violations","Destruction/Damage/Vandalism of Property"
"11252","Simple Assault","All Other Larceny"
"11253","Robbery","Weapon Law Violations"
"11254","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11255","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11256","Simple Assault","Destruction/Damage/Vandalism of Property"
"11257","Simple Assault","Drug/Narcotic Violations"
"11258","Intimidation","Destruction/Damage/Vandalism of Property"
"11259","Intimidation","All Other Larceny"
"11260","Destruction/Damage/Vandalism of Property","All Other Larceny"
"11261","Shoplifting","Simple Assault"
"11262","Simple Assault","Aggravated Assault"
"11263","Destruction/Damage/Vandalism of Property","All Other Larceny"
"11264","Simple Assault","Destruction/Damage/Vandalism of Property"
"11265","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"11266","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11267","Drug/Narcotic Violations","Weapon Law Violations"
"11268","Theft From Building","Simple Assault"
"11269","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11270","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11271","Simple Assault","All Other Larceny"
"11272","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11273","Intimidation","Destruction/Damage/Vandalism of Property"
"11274","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11275","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"11276","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11277","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11278","Stolen Property Offenses","Robbery"
"11279","Stolen Property Offenses","Weapon Law Violations"
"11280","Robbery","Weapon Law Violations"
"11281","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11282","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"11283","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"11284","Simple Assault","Destruction/Damage/Vandalism of Property"
"11285","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11286","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"11287","Simple Assault","All Other Larceny"
"11288","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11289","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11290","Destruction/Damage/Vandalism of Property","Weapon Law Violations"
"11291","Theft From Motor Vehicle","Weapon Law Violations"
"11292","Theft From Building","Simple Assault"
"11293","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11294","Simple Assault","Destruction/Damage/Vandalism of Property"
"11295","Simple Assault","All Other Larceny"
"11296","Destruction/Damage/Vandalism of Property","All Other Larceny"
"11297","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11298","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11299","Murder and Nonnegligent Manslaughter","All Other Larceny"
"11300","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11301","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"11302","All Other Larceny","Credit Card/Automated Teller Machine Fraud"
"11303","Shoplifting","Intimidation"
"11304","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11305","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11306","Destruction/Damage/Vandalism of Property","Simple Assault"
"11307","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"11308","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"11309","Simple Assault","Destruction/Damage/Vandalism of Property"
